repo,lists
it-ebooks-0/geektime-books,软技能 / 职业
flycash/interview-baguwen,面试 / 八股
929220967/books,软技能 / 职业
visiky/visiky,UNCATEGORIZED
moutsea/EasyLeetCode,算法;C / C++
scutan90/DeepLearning-500-questions,LLM 基础
microsoft/mcp-for-beginners,AI / Agent;LLM 基础;分布式 / 系统设计;Rust
rohitg00/ai-engineering-from-scratch,AI / Agent;LLM 基础;Rust;软技能 / 职业
Kocoro-lab/ai-agent-book,AI / Agent;软技能 / 职业
Infrasys-AI/AIInfra,LLM 基础
kdsz001/OpenWiki,Rust;工具 / 效率
datawhalechina/hello-agents,AI / Agent;LLM 基础;软技能 / 职业
WenyuChiou/awesome-agentic-ai-zh,AI / Agent;LLM 基础;工具 / 效率;软技能 / 职业
FareedKhan-dev/all-agentic-architectures,AI / Agent;LLM 基础
WeThinkIn/AIGC-Interview-Book,AI / Agent;LLM 基础;算法;面试 / 八股;软技能 / 职业
liyupi/mianshiya,AI / Agent;LLM 基础;Go / 后端;分布式 / 系统设计;算法;面试 / 八股;C / C++;工具 / 效率
didilili/ai-agents-from-zero,AI / Agent;LLM 基础;面试 / 八股;软技能 / 职业
bcefghj/ai-agent-interview-guide,AI / Agent;面试 / 八股;软技能 / 职业
luhengshiwo/LLMForEverybody,AI / Agent;LLM 基础;面试 / 八股
adongwanai/AgentGuide,AI / Agent;LLM 基础;算法;面试 / 八股;软技能 / 职业
JimLiu/Illustrated-Agent-Skills,AI / Agent
guocong-bincai/ai-interview-guide,AI / Agent;LLM 基础;面试 / 八股;软技能 / 职业
HKUDS/ViMax,AI / Agent
geekjourneyx/md2wechat-skill,AI / Agent;Go / 后端;工具 / 效率
harry0703/MoneyPrinterTurbo,LLM 基础
op7418/guizang-social-card-skill,AI / Agent;工具 / 效率
obra/superpowers,AI / Agent
freestylefly/awesome-gpt-image-2,AI / Agent;LLM 基础;工具 / 效率
Egonex-AI/Understand-Anything,AI / Agent;LLM 基础;工具 / 效率
affaan-m/ECC,AI / Agent;LLM 基础;工具 / 效率
CheeMao/ai-content,UNCATEGORIZED
farion1231/cc-switch,AI / Agent;Rust;工具 / 效率
tanweai/pua,AI / Agent
openclaw/openclaw,UNCATEGORIZED
fzy2012/rhzl-Agentic-Design-Patterns-cn,AI / Agent;软技能 / 职业
ZhuLinsen/daily_stock_analysis,AI / Agent;LLM 基础
0voice/cpp_backend_awsome_blog,Go / 后端;分布式 / 系统设计;算法;C / C++;云原生 / DevOps
bytedance/deer-flow,AI / Agent;LLM 基础
Arindam200/awesome-ai-apps,AI / Agent;LLM 基础;工具 / 效率
cporter202/automate-faceless-content,UNCATEGORIZED
nuxt-content/docus,UNCATEGORIZED
chiphuyen/aie-book,LLM 基础;软技能 / 职业
karpathy/nanochat,UNCATEGORIZED
onnx/models,LLM 基础
ashumishra2104/AI_Travel_agent_Streamlit,AI / Agent;LLM 基础
rebase-network/who-is-hiring,UNCATEGORIZED
JoeanAmier/TikTokDownloader,云原生 / DevOps
sharvaridesai/hexo-theme-edinburgh,UNCATEGORIZED
Andrew-Jang/RAGHub,AI / Agent;LLM 基础
everywall/ladder,Go / 后端
jamwithai/production-agentic-rag-course,AI / Agent
Jason2Brownlee/awesome-llm-books,LLM 基础;工具 / 效率;软技能 / 职业
easychen/opc-methodology,UNCATEGORIZED
cvenwu/OpenPresetBFF,Go / 后端
linshenkx/prompt-optimizer,AI / Agent;LLM 基础;工具 / 效率
wassupjay/n8n-free-templates,工具 / 效率
NanmiCoder/MediaCrawler,UNCATEGORIZED
genieincodebottle/generative-ai,AI / Agent;LLM 基础;面试 / 八股;软技能 / 职业
mindverse/Second-Me,UNCATEGORIZED
comet-ml/opik,AI / Agent;LLM 基础
aoguai/LiYing,UNCATEGORIZED
microsoft/ai-agents-for-beginners,AI / Agent;LLM 基础;C / C++
Sanster/IOPaint,AI / Agent;工具 / 效率
zuruoke/watermark-removal,LLM 基础
knowledgefxg/learning-english,UNCATEGORIZED
moovweb/gvm,Go / 后端
mastra-ai/mastra,AI / Agent;LLM 基础
javabuddy/best-system-design-resources,分布式 / 系统设计;面试 / 八股
CH563/shot-easy-website,C / C++
DangJin/awesome-social-media-downloader,工具 / 效率
Sairyss/system-design-patterns,Go / 后端;分布式 / 系统设计;软技能 / 职业
ashishps1/awesome-low-level-design,面试 / 八股;工具 / 效率;软技能 / 职业
Sairyss/backend-best-practices,Go / 后端;云原生 / DevOps;软技能 / 职业
Sairyss/domain-driven-hexagon,Go / 后端;分布式 / 系统设计;软技能 / 职业
svcvit/Awesome-Dify-Workflow,AI / Agent;工具 / 效率
wechat-article/wechat-article-exporter,云原生 / DevOps
ByronLeeeee/MiLike_watermark,UNCATEGORIZED
dunwu/linux-tutorial,云原生 / DevOps;软技能 / 职业
orhun/git-cliff,Rust
krahets/hello-algo,算法;C / C++;Rust;软技能 / 职业
cvenwu/GoDemo,UNCATEGORIZED
ByteByteGoHq/system-design-101,分布式 / 系统设计;面试 / 八股
leandromoreira/digital_video_introduction,LLM 基础;软技能 / 职业
leandromoreira/cdn-up-and-running,云原生 / DevOps;软技能 / 职业
karanpratapsingh/system-design,Go / 后端;分布式 / 系统设计;面试 / 八股
Qexo/Qexo,UNCATEGORIZED
squidfunk/mkdocs-material,UNCATEGORIZED
princehuang/overseas-website-note,UNCATEGORIZED
huangzworks/redis-3.0-annotated,分布式 / 系统设计;C / C++
foxsen/archbase,UNCATEGORIZED
027xiguapi/code-box,工具 / 效率
maurodesouza/profile-readme-generator,工具 / 效率
miss-mumu/developer2gwy,面试 / 八股
posit-dev/great-tables,UNCATEGORIZED
xuchengsheng/spring-reading,软技能 / 职业
Pintree-io/pintree,UNCATEGORIZED
yolain/ComfyUI-Yolain-Workflows,AI / Agent
linyqh/NarratoAI,AI / Agent;LLM 基础
Zeyi-Lin/HivisionIDPhotos,LLM 基础;算法;云原生 / DevOps
systemdesign42/system-design-academy,分布式 / 系统设计;面试 / 八股
ddean2009/MoneyPrinterPlus,AI / Agent;LLM 基础
stas00/ml-engineering,LLM 基础;分布式 / 系统设计;软技能 / 职业
allentofight/easy-cs,UNCATEGORIZED
avast/retry-go,Go / 后端
Beyondzjl/beijing-fushengji-gpt,LLM 基础
cvenwu/AlgoBook,算法
perkfly/reverse-interview-zh,面试 / 八股
jwasham/coding-interview-university,算法;面试 / 八股
gobyexample-cn/gobyexample,Go / 后端;软技能 / 职业
Infrasys-AI/AISystem,LLM 基础
Developer-Y/cs-video-courses,LLM 基础;分布式 / 系统设计;算法
xiaolincoder/CS-Base,Go / 后端;分布式 / 系统设计;面试 / 八股;C / C++;云原生 / DevOps
ashishps1/awesome-system-design-resources,Go / 后端;分布式 / 系统设计;面试 / 八股;工具 / 效率
yourselfhosted/slash,工具 / 效率
NginxProxyManager/nginx-proxy-manager,云原生 / DevOps
kuchin/awesome-cto,面试 / 八股;工具 / 效率;软技能 / 职业
tw93/Pake,Rust;云原生 / DevOps
dromara/carbon,Go / 后端
OpenGithubs/weekly,UNCATEGORIZED
practical-tutorials/project-based-learning,Go / 后端;C / C++;软技能 / 职业
lobehub/lobehub,AI / Agent;LLM 基础
lobehub/sd-webui-lobe-theme,AI / Agent;工具 / 效率
mao888/golang-guide,Go / 后端;面试 / 八股;软技能 / 职业
chinesehuazhou/python-weekly,Rust;软技能 / 职业
scottbez1/smartknob,C / C++
JuanCrg90/Clean-Code-Notes,软技能 / 职业
Kanaries/pygwalker,UNCATEGORIZED
AUTOMATIC1111/stable-diffusion-webui,AI / Agent;LLM 基础
